battle,won,turns,our_team,opp_team,our_fainted,our_survived
1,False,12,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|chiyu|ironhands,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
2,False,10,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|ironhands|chiyu,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
3,True,12,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|chiyu|ironhands,incineroar|kingambit,fluttermane|calyrexice|chienpao|dragonite
4,False,14,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|chiyu|ironhands,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
5,False,10,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|ironhands|chiyu,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
6,False,11,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|chiyu|ironhands,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
7,False,12,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|ironhands|chiyu,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
8,False,6,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|chiyu|ironhands,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
9,False,11,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|chiyu,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
10,False,9,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|ironhands|chiyu,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
11,False,8,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|chiyu|ironhands,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
12,True,13,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|ironhands|chiyu,incineroar,fluttermane|calyrexice|kingambit|chienpao|dragonite
13,False,10,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|chiyu,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
14,False,10,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|ironhands|chiyu,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
15,False,11,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|ironhands|chiyu,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
16,False,6,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|chiyu,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
17,False,13,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|ironhands|chiyu,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
18,False,10,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|chiyu|ironhands,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
19,False,13,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|chiyu|ironhands,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
20,False,13,incineroar|fluttermane|calyrexice|kingambit|chienpao|dragonite,urshifurapidstrike|chiyu|ironhands,incineroar|calyrexice|kingambit,fluttermane|chienpao|dragonite
