battle,won,turns,our_team,opp_team,our_fainted,our_survived
1,False,9,kingambit|skeledirge|urshifurapidstrike|rillaboom|fluttermane|tornadustherian,urshifurapidstrike|skeledirge|kingambit,urshifurapidstrike|fluttermane|tornadustherian,kingambit|skeledirge|rillaboom
2,True,29,kingambit|skeledirge|urshifurapidstrike|rillaboom|tornadustherian|fluttermane,urshifurapidstrike|skeledirge|fluttermane,skeledirge|fluttermane,kingambit|urshifurapidstrike|rillaboom|tornadustherian
3,True,10,kingambit|skeledirge|urshifurapidstrike|fluttermane|calyrexice|primarina,urshifurapidstrike|primarina|kingambit,urshifurapidstrike|primarina,kingambit|skeledirge|fluttermane|calyrexice
4,False,44,kingambit|skeledirge|urshifurapidstrike|rillaboom|fluttermane|calyrexice,urshifurapidstrike|skeledirge|kingambit,skeledirge|urshifurapidstrike|fluttermane,kingambit|rillaboom|calyrexice
5,False,10,kingambit|skeledirge|urshifurapidstrike|rillaboom|fluttermane|calyrexice,urshifurapidstrike|skeledirge|kingambit,urshifurapidstrike|fluttermane|calyrexice,kingambit|skeledirge|rillaboom
6,True,20,kingambit|skeledirge|urshifurapidstrike|calyrexice|rillaboom|fluttermane,urshifurapidstrike|skeledirge|fluttermane,skeledirge|urshifurapidstrike,kingambit|calyrexice|rillaboom|fluttermane
7,False,16,kingambit|skeledirge|urshifurapidstrike|rillaboom|tornadustherian|incineroar,urshifurapidstrike|tornadustherian|primarina,urshifurapidstrike|tornadustherian|incineroar,kingambit|skeledirge|rillaboom
8,False,9,kingambit|skeledirge|urshifurapidstrike|rillaboom|primarina|tornadustherian,urshifurapidstrike|fluttermane|primarina,skeledirge|urshifurapidstrike|primarina,kingambit|rillaboom|tornadustherian
9,True,21,kingambit|skeledirge|urshifurapidstrike|rillaboom|tornadustherian|incineroar,urshifurapidstrike|skeledirge|fluttermane,skeledirge|incineroar,kingambit|urshifurapidstrike|rillaboom|tornadustherian
10,True,29,kingambit|skeledirge|urshifurapidstrike|rillaboom|tornadustherian|incineroar,urshifurapidstrike|skeledirge|fluttermane,skeledirge|incineroar,kingambit|urshifurapidstrike|rillaboom|tornadustherian
11,True,40,kingambit|skeledirge|urshifurapidstrike|calyrexice|rillaboom|primarina,urshifurapidstrike|skeledirge|incineroar,skeledirge,kingambit|urshifurapidstrike|calyrexice|rillaboom|primarina
12,False,27,kingambit|skeledirge|urshifurapidstrike|fluttermane|calyrexice|rillaboom,urshifurapidstrike|skeledirge,skeledirge|urshifurapidstrike|fluttermane,kingambit|calyrexice|rillaboom
13,False,14,kingambit|skeledirge|urshifurapidstrike|fluttermane|ironhands|rillaboom,fluttermane|skeledirge|urshifurapidstrike,skeledirge|urshifurapidstrike|fluttermane,kingambit|ironhands|rillaboom
14,True,44,kingambit|skeledirge|urshifurapidstrike|amoonguss|rillaboom|tornadustherian,urshifurapidstrike|skeledirge|tornadustherian,skeledirge|tornadustherian,kingambit|urshifurapidstrike|amoonguss|rillaboom
15,False,9,kingambit|skeledirge|urshifurapidstrike|rillaboom|fluttermane|calyrexice,urshifurapidstrike|skeledirge|kingambit,urshifurapidstrike|fluttermane|calyrexice,kingambit|skeledirge|rillaboom
16,False,7,kingambit|skeledirge|urshifurapidstrike|rillaboom|tornadustherian|fluttermane,urshifurapidstrike|ironhands,skeledirge|urshifurapidstrike|fluttermane,kingambit|rillaboom|tornadustherian
17,False,40,kingambit|skeledirge|urshifurapidstrike|fluttermane|rillaboom|dragonite,urshifurapidstrike|skeledirge,skeledirge|urshifurapidstrike|fluttermane,kingambit|rillaboom|dragonite
18,True,9,kingambit|skeledirge|urshifurapidstrike|rillaboom|primarina|tornadustherian,urshifurapidstrike|primarina|tornadustherian,urshifurapidstrike,kingambit|skeledirge|rillaboom|primarina|tornadustherian
19,True,29,kingambit|skeledirge|urshifurapidstrike|rillaboom|tornadustherian|calyrexice,urshifurapidstrike|skeledirge|fluttermane,skeledirge,kingambit|urshifurapidstrike|rillaboom|tornadustherian|calyrexice
20,True,20,kingambit|skeledirge|urshifurapidstrike|fluttermane|calyrexice|rillaboom,urshifurapidstrike|skeledirge|fluttermane,skeledirge,kingambit|urshifurapidstrike|fluttermane|calyrexice|rillaboom
