==================================================
  BATTLE SUMMARY: battle-gen9bssregj-201812
==================================================
Agent:   Gemini
Result:  WIN
Turns:   56
Logged:  68 decisions
Our team: incineroar, calyrexice, amoonguss, kingambit, chienpao, dragonite
Opp team: incineroar, urshifurapidstrike, fluttermane

Turn-by-turn:
  T 1: move partingshot               [LLM]
  T 1: move knock off                 [LLM]
  T 2: switch incineroar              [LLM]
  T 3: move partingshot               [LLM]
  T 3: switch amoonguss               [LLM]
  T 4: move spore                     [LLM]
  T 5: move spore                     [LLM]
  T 6: move spore                     [LLM]
  T 7: move spore                     [LLM]
  T 8: move spore                     [LLM]
  T 9: move spore                     [LLM]
  T10: move spore                     [LLM]
  T11: move spore                     [LLM]
  T12: move spore                     [LLM]
  T13: switch incineroar              [LLM]
  T14: move partingshot               [LLM]
  T14: move knock off                 [LLM]
  T15: switch incineroar              [LLM]
  T16: move partingshot               [LLM]
  T16: switch amoonguss               [LLM]
  T17: move spore                     [LLM]
  T18: move spore                     [LLM]
  T19: move spore                     [LLM]
  T20: move spore                     [LLM]
  T21: move spore                     [LLM]
  T22: move spore                     [LLM]
  T23: move spore                     [LLM]
  T24: move spore                     [LLM]
  T25: switch incineroar              [LLM]
  T26: move partingshot               [LLM]
  T26: move knock off                 [LLM]
  T27: switch incineroar              [LLM]
  T28: move partingshot               [LLM]
  T28: switch amoonguss               [LLM]
  T29: move spore                     [LLM]
  T30: move spore                     [LLM]
  T31: move spore                     [LLM]
  T32: move spore                     [LLM]
  T33: move spore                     [LLM]
  T34: move spore                     [LLM]
  T35: move spore                     [LLM]
  T36: move protect                   [LLM]
  T37: move protect                   [LLM]
  T38: move protect                   [LLM]
  T39: move protect                   [LLM]
  T40: move protect                   [LLM]
  T41: switch incineroar              [LLM]
  T42: move partingshot               [LLM]
  T42: switch amoonguss               [LLM]
  T43: switch incineroar              [LLM]
  T44: move partingshot               [LLM]
  T44: switch amoonguss               [LLM]
  T45: switch incineroar              [LLM]
  T46: move flareblitz                [LLM]
  T47: move partingshot               [LLM]
  T47: switch amoonguss               [LLM]
  T48: switch incineroar              [LLM]
  T49: move partingshot               [LLM]
  T49: switch amoonguss               [LLM]
  T50: switch incineroar              [LLM]
  T51: move fakeout                   [LLM]
  T52: move partingshot               [LLM]
  T52: switch amoonguss               [LLM]
  T53: switch incineroar              [LLM]
  T53: switch kingambit               [LLM]
  T54: move protect                   [LLM]
  T55: move protect                   [LLM]
  T56: move pollenpuff                [LLM]

Timestamp: 2026-04-20T09:28:30.852428
